User Id,Name,Address,Postcode,Country Id,Phone,User Situation Ids,Credit Limit,Birthday,Event Timestamp
1,"Johnson, John",Voorstraat 32,3122gg,1,020 3849381,"""[1]""",10000,01/01/1987,01/01/2018
2,"Anderson, Paul",Dorpsplein 3A,4532 AA,1,030 3458986,"""[1]""",109093,03/12/1965,01/01/2018
3,"Wicket, Steve",Mendelssohnstraat 54d,3423 ba,1,0313-398475,"""[1,3]""",934,03/06/1964,01/01/2018
4,"Benetar, Pat",Driehoog 3zwart,2340 CC,1,06-28938945,"""[2]""",54,04/09/1964,01/01/2018
5,"Gibson, Mal",Vredenburg 21,3209 DD,1,06-48958986,"""[2,3]""",54.5,09/11/1978,01/01/2018
6,"Friendly, User",Sint Jansstraat 32,4220 EE,1,0885-291029,"""[3]""",63.6,10/08/1980,01/01/2018
7,"Smith, John",Børkeßtrase 32,87823,3,+44 728 889838,,9898.3,20/09/1999,01/01/2018
1,"Johnson, John",Carr de l'Europe,1000,4,+32 2 528 28 28,"""[1]""",10000,01/01/1987,15/08/2020
1,"Johnson, John",Carr de l'Europe,1000,4,+32 2 528 28 28,,5000,01/01/1987,30/01/2021
3,"Wicket, Steve",Mendelssohnstraat 54d,3423 ba,1,0313-398475,"""[1]""",93401,03/06/1964,20/02/2021
5,"Gibson, Mal",Vredenburg 21,3209 DD,1,06-48958986,"""[1]""",314159.26,,03/03/2021
1,"Johnson, John",Carr de l'Europe,1000,4,+32 2 528 28 28,"""[2,3]""",0,01/01/1987,07/09/2021
